id;category;front;back
fc-0001;Application;AppConfig;a capability of AWS Systems Manager (SSM). Manage, store, and quickly deploy application configurations independently of your code.
fc-0002;Application;AppFlow;integration service for transferring data securely between SaaS applications like Salesforce, SAP, Zendesk, Slack, ServiceNow, and AWS services.
fc-0003;Application;Application Migration Service (MGN);An automated lift-and-shift solution that simplifies, expedites, and lowers the cost of migrating applications to AWS.
fc-0004;Application;AppStream;streaming desktop applications to end user.
fc-0005;Application;AppSync;fully managed service for building scalable (GraphQL) APIs that connect app to data. Securely access, manipulate, and combine data from multiple sources in real time. Serverless.
fc-0006;Application;AppSync pipeline resolvers;aggregating data from multiple database tables. Server-side solution.
fc-0007;Application;Elastic Beanstalk;a PaaS, that deploys and manages applications without managing infrastructure.
fc-0008;AI;Bedrock;Fully managed service offering foundation models from leading AI companies via a single API to build generative AI applications.
fc-0009;AI;Comprehend;Natural Language Processing for document for insights and sentiments reading.
fc-0010;AI;Kendra;search unstructured data and improve accuracy in search results
fc-0011;AI;Lex;Text or Voice conversational interfaces. Speech to text.
fc-0012;AI;Macie;Policy or Sensitive data Findings in S3.
fc-0013;AI;Polly;Text to life-like speech.
fc-0014;AI;Textract;Detect and analyse text
fc-0015;AI;Transcribe;Audio to Text.
fc-0016;Backup;AWS Backup;centralize and automate data protection for cross AWS services, cross account and cross region. Compliance.
fc-0017;Backup;Backup Vault Lock;WORM. Retention. Ransomware protection.
fc-0018;Backup;Data Lifecycle Manager (DLM) ;automates the creation, retention and deletion of EBS snapshots.
fc-0019;Best practices;Control Tower;typically used for multi-account governance and high-level policy enforcement using SCPs.
fc-0020;Best practices;Account Factory;Automate the setup of AWS environment with best-practices blueprints for multi-account structure, identity, access management, and account provisioning workflow. For ongoing governance, you can select and apply pre-packaged policies enterprise-wide or to specific groups of accounts.
fc-0021;Best practices;Account Drift;configuration gap. Actual state of an AWS account no longer matches the intended state.
fc-0022;Best practices;Compute Optimizer;Generate recommendations for EC2, Lambda, ASG, EBS.
fc-0023;Best practices;Trusted Advisor;analyzes AWS environment and provides AWS best practice recommendations in Cost Optimization, Performance, Security, Fault Tolerance and    Service Limits.
fc-0024;Best practices;Well-Architected Tool;automatically monitor the status of your workloads across your AWS account, conduct architectural reviews and check for AWS best practices.
fc-0025;Best practices;Inspector;vulnerbilities and deviations from best Practices of application in EC2, ECR, Lambda, AWS Organizations.
fc-0026;Big Data;Athena;SQL over S3. GB-TB. Ad-hoc. Loading/Transform isnâ€™t desired. Serverless.
fc-0027;Big Data;Elastic MapReduce (EMR);"managed cluster platform that simplifies running big data frameworks, such as Apache Spark, Apache Hadoop, and Presto, to process and analyze vast amounts of data.
Primay/Core/Task node.
Transient Cluster.
Long-running Cluster."
fc-0028;Big Data;;
